,text,cleantext,afinn,newtext,clusters
74,"Evelyn, Elizabeth, Freddy, and Robert: Tonight, everyone in this chamber is praying for you. Everyone in America is grieving for you. And 320 million hearts are breaking for you. We cannot imagine the depth of your sorrow, but we can make sure that other families never have to endure this pain.","evelyn, elizabeth, freddy, and robert: tonight, everyone in this chamber is praying for you. everyone in america is grieving for you. and 320 million hearts are breaking for you. we cannot imagine the depth of your sorrow, but we can make sure that other families never have to endure this pain.",Negative,"evelyn , elizabeth , freddy , and robert : tonight , everyone in this chamber be pray for you . everyone in america be grieve for you . and 320 million heart be break for you . we can not imagine the depth of your sorrow , but we can make sure that other family never have to endure this pain .",4
75,"Tonight, I am calling on the Congress to finally close the deadly loopholes that have allowed MS-13, and other criminals, to break into our country. We have proposed new legislation that will fix our immigration laws, and support our ICE and Border Patrol Agents, so that this cannot ever happen again.","tonight, i am calling on the congress to finally close the deadly loopholes that have allowed ms-13, and other criminals, to break into our country. we have proposed new legislation that will fix our immigration laws, and support our ice and border patrol agents, so that this cannot ever happen again.",Negative,"tonight , i be call on the congress to finally close the deadly loophole that have allow ms-13 , and other criminal , to break into our country . we have propose new legislation that will fix our immigration law , and support our ice and border patrol agent , so that this can not ever happen again .",10
76,"The United States is a compassionate nation. We are proud that we do more than any other country to help the needy, the struggling, and the underprivileged all over the world. But as president of the United States, my highest loyalty, my greatest compassion, and my constant concern is for America's children, America's struggling workers, and America's forgotten communities. I want our youth to grow up to achieve great things. I want our poor to have their chance to rise.","the america is a compassionate nation. we are proud that we do more than any other country to help the needy, the struggling, and the underprivileged all over the world. but as president of the america, my highest loyalty, my greatest compassion, and my constant concern is for america's children, america's struggling workers, and america's forgotten communities. i want our youth to grow up to achieve great things. i want our poor to have their chance to rise.",Positive,"the united state be a compassionate nation . we be proud that we do more than any other country to help the needy , the struggling , and the underprivileged all over the world . but a president of the united state , my high loyalty , my great compassion , and my constant concern be for america 's child , america 's struggle worker , and america 's forgotten community . i want our youth to grow up to achieve great thing . i want our poor to have their chance to rise .",5
77,"So tonight, I am extending an open hand to work with members of both parties — Democrats and Republicans — to protect our citizens of every background, color, religion, and creed. My duty, and the sacred duty of every elected official in this chamber, is to defend Americans — to protect their safety, their families, their communities, and their right to the American dream. Because Americans are dreamers too.","so tonight, i am extending an open hand to work with members of both parties — democrats and republicans — to protect our citizens of every background, color, religion, and creed. my duty, and the sacred duty of every elected official in this chamber, is to defend american — to protect their safety, their families, their communities, and their right to the american dream. becaamericane american are dreamers too.",Positive,"so tonight , i be extend an open hand to work with member of both party — democrat and republican — to protect our citizen of every background , color , religion , and creed . my duty , and the sacred duty of every elect official in this chamber , be to defend american — to protect their safety , their family , their community , and their right to the american dream . because american be dreamer too .",14
78,"Here tonight is one leader in the effort to defend our country: Homeland Security Investigations Special Agent Celestino Martinez — he goes by CJ. CJ served 15 years in the Air Force before becoming an ICE agent and spending the last 15 years fighting gang violence and getting dangerous criminals off our streets. At one point, MS-13 leaders ordered CJ's murder. But he did not cave to threats or fear. Last May, he commanded an operation to track down gang members on Long Island. His team has arrested nearly 400, including more than 220 from MS-13.","here tonight is one leader in the effort to defend our country: homeland security investigations special agent celestino martinez — he goes by cj. cj served 15 year in the air force before becoming an ice agent and spending the last 15 year fighting gang violence and getting dangeroamerican criminals off our streets. at one point, ms-13 leaders ordered cj's murder. but he did not cave to threats or fear. last may, he commanded an operation to track down gang members on long island. his team has arrested nearly 400, including more than 220 from ms-13.",Negative,"here tonight be one leader in the effort to defend our country : homeland security investigation special agent celestino martinez — he go by cj . cj serve 15 year in the air force before become an ice agent and spend the last 15 year fight gang violence and get dangerous criminal off our street . at one point , ms-13 leader order cj 's murder . but he do not cave to threat or fear . last may , he command an operation to track down gang member on long island . his team have arrest nearly 400 , include more than 220 from ms-13 .",3
79,CJ: Great work. Now let us get the Congress to send you some reinforcements.,cj: great work. now let american get the congress to send you some reinforcements.,Positive,cj : great work . now let u get the congress to send you some reinforcement .,10
80,"Over the next few weeks, the House and Senate will be voting on an immigration reform package.","over the next few weeks, the hoamericane and senate will be voting on an immigration reform package.",Neutral,"over the next few week , the house and senate will be vote on an immigration reform package .",10
81,"In recent months, my administration has met extensively with both Democrats and Republicans to craft a bipartisan approach to immigration reform. Based on these discussions, we presented the Congress with a detailed proposal that should be supported by both parties as a fair compromise — one where nobody gets everything they want, but where our country gets the critical reforms it needs.","in recent months, my administration has met extensively with both democrats and republicans to craft a bipartisan approach to immigration reform. based on these discamericansions, we presented the congress with a detailed proposal that should be supported by both parties as a fair compromise — one where nobody gets everything they want, but where our country gets the critical reforms it needs.",Positive,"in recent month , my administration have meet extensively with both democrat and republican to craft a bipartisan approach to immigration reform . base on these discussion , we present the congress with a detailed proposal that should be support by both party a a fair compromise — one where nobody get everything they want , but where our country get the critical reform it need .",10
82,Here are the four pillars of our plan:,here are the four pillars of our plan:,Neutral,here be the four pillar of our plan :,11
83,"The first pillar of our framework generously offers a path to citizenship for 1.8 million illegal immigrants who were brought here by their parents at a young age — that covers almost three times more people than the previous administration. Under our plan, those who meet education and work requirements, and show good moral character, will be able to become full citizens of the United States.","the first pillar of our framework generoamericanly offers a path to citizenship for 1.8 million illegal immigrants who were brought here by their parents at a young age — that covers almost three times more people than the previoamerican administration. under our plan, those who meet education and work requirements, and show good moral character, will be able to become full citizens of the america.",Neutral,"the first pillar of our framework generously offer a path to citizenship for 1.8 million illegal immigrant who be bring here by their parent at a young age — that cover almost three time more people than the previous administration . under our plan , those who meet education and work requirement , and show good moral character , will be able to become full citizen of the united state .",5
84,"The second pillar fully secures the border. That means building a wall on the southern border, and it means hiring more heroes like CJ to keep our communities safe. Crucially, our plan closes the terrible loopholes exploited by criminals and terrorists to enter our country — and it finally ends the dangerous practice of ""catch and release.""","the second pillar fully secures the border. that means building a wall on the southern border, and it means hiring more heroes like cj to keep our communities safe. crucially, our plan closes the terrible loopholes exploited by criminals and terrorists to enter our country — and it finally ends the dangeroamerican practice of ""catch and release.""",Negative,"the second pillar fully secure the border . that mean build a wall on the southern border , and it mean hire more hero like cj to keep our community safe . crucially , our plan close the terrible loophole exploit by criminal and terrorist to enter our country — and it finally end the dangerous practice of `` catch and release . ''",2
85,"The third pillar ends the visa lottery — a program that randomly hands out green cards without any regard for skill, merit, or the safety of our people. It is time to begin moving towards a merit-based immigration system — one that admits people who are skilled, who want to work, who will contribute to our society, and who will love and respect our country.","the third pillar ends the visa lottery — a program that randomly hands out green cards without any regard for skill, merit, or the safety of our people. it is time to begin moving towards a merit-based immigration system — one that admits people who are skilled, who want to work, who will contribute to our society, and who will love and respect our country.",Positive,"the third pillar end the visa lottery — a program that randomly hand out green card without any regard for skill , merit , or the safety of our people . it be time to begin move towards a merit-based immigration system — one that admit people who be skilled , who want to work , who will contribute to our society , and who will love and respect our country .",2
86,"The fourth and final pillar protects the nuclear family by ending chain migration. Under the current broken system, a single immigrant can bring in virtually unlimited numbers of distant relatives. Under our plan, we focus on the immediate family by limiting sponsorships to spouses and minor children. This vital reform is necessary, not just for our economy, but for our security, and our future.","the fourth and final pillar protects the nuclear family by ending chain migration. under the current broken system, a single immigrant can bring in virtually unlimited numbers of distant relatives. under our plan, we focamerican on the immediate family by limiting sponsorships to spoamericanes and minor children. this vital reform is necessary, not jamericant for our economy, but for our security, and our future.",Neutral,"the fourth and final pillar protect the nuclear family by end chain migration . under the current broken system , a single immigrant can bring in virtually unlimited number of distant relative . under our plan , we focus on the immediate family by limit sponsorship to spouse and minor child . this vital reform be necessary , not just for our economy , but for our security , and our future .",2
87,"In recent weeks, two terrorist attacks in New York were made possible by the visa lottery and chain migration. In the age of terrorism, these programs present risks we can no longer afford.","in recent weeks, two terrorist attacks in new york were made possible by the visa lottery and chain migration. in the age of terrorism, these programs present risks we can no longer afford.",Negative,"in recent week , two terrorist attack in new york be make possible by the visa lottery and chain migration . in the age of terrorism , these program present risk we can no longer afford .",4
88,"It is time to reform these outdated immigration rules, and finally bring our immigration system into the 21st century.","it is time to reform these outdated immigration rules, and finally bring our immigration system into the 21st century.",Neutral,"it be time to reform these outdated immigration rule , and finally bring our immigration system into the 21st century .",2
89,"These four pillars represent a down-the-middle compromise, and one that will create a safe, modern, and lawful immigration system.","these four pillars represent a down-the-middle compromise, and one that will create a safe, modern, and lawful immigration system.",Positive,"these four pillar represent a down-the-middle compromise , and one that will create a safe , modern , and lawful immigration system .",2
90,"For over 30 years, Washington has tried and failed to solve this problem. This Congress can be the one that finally makes it happen.","for over 30 year, washington has tried and failed to solve this problem. this congress can be the one that finally makes it happen.",Negative,"for over 30 year , washington have try and fail to solve this problem . this congress can be the one that finally make it happen .",11
91,"Most importantly, these four pillars will produce legislation that fulfills my ironclad pledge to only sign a bill that puts America first. So let us come together, set politics aside, and finally get the job done.","most importantly, these four pillars will produce legislation that fulfills my ironclad pledge to only sign a bill that puts america first. so let american come together, set politics aside, and finally get the job done.",Positive,"most importantly , these four pillar will produce legislation that fulfill my ironclad pledge to only sign a bill that put america first . so let u come together , set politics aside , and finally get the job do .",13
92,These reforms will also support our response to the terrible crisis of opioid and drug addiction.,these reforms will also support our response to the terrible crisis of opioid and drug addiction.,Negative,these reform will also support our response to the terrible crisis of opioid and drug addiction .,10
93,"In 2016, we lost 64,000 Americans to drug overdoses: 174 deaths per day. Seven per hour. We must get much tougher on drug dealers and pushers if we are going to succeed in stopping this scourge.","in 2016, we lost 64,000 american to drug overdoses: 174 deaths per day. seven per hour. we mamericant get much tougher on drug dealers and pamericanhers if we are going to succeed in stopping this scourge.",Negative,"in 2016 , we lose 64,000 american to drug overdoses : 174 death per day . seven per hour . we must get much tough on drug dealer and pusher if we be go to succeed in stop this scourge .",3
94,"My administration is committed to fighting the drug epidemic and helping get treatment for those in need. The struggle will be long and difficult — but, as Americans always do, we will prevail.","my administration is committed to fighting the drug epidemic and helping get treatment for those in need. the struggle will be long and difficult — but, as american always do, we will prevail.",Neutral,"my administration be commit to fight the drug epidemic and help get treatment for those in need . the struggle will be long and difficult — but , a american always do , we will prevail .",3
95,"As we have seen tonight, the most difficult challenges bring out the best in America.","as we have seen tonight, the most difficult challenges bring out the best in america.",Positive,"a we have see tonight , the most difficult challenge bring out the best in america .",5
96,"We see a vivid expression of this truth in the story of the Holets family of New Mexico. Ryan Holets is 27 years old, and an officer with the Albuquerque Police Department. He is here tonight with his wife Rebecca. Last year, Ryan was on duty when he saw a pregnant, homeless woman preparing to inject heroin. When Ryan told her she was going to harm her unborn child, she began to weep. She told him she did not know where to turn, but badly wanted a safe home for her baby.","we see a vivid expression of this truth in the story of the holets family of new mexico. ryan holets is 27 year old, and an officer with the albuquerque police department. he is here tonight with his wife rebecca. last year, ryan was on duty when he saw a pregnant, homeless woman preparing to inject heroin. when ryan told her she was going to harm her unborn child, she began to weep. she told him she did not know where to turn, but badly wanted a safe home for her baby.",Negative,"we see a vivid expression of this truth in the story of the holets family of new mexico . ryan holets be 27 year old , and an officer with the albuquerque police department . he be here tonight with his wife rebecca . last year , ryan be on duty when he saw a pregnant , homeless woman prepare to inject heroin . when ryan tell her she be go to harm her unborn child , she begin to weep . she tell him she do not know where to turn , but badly want a safe home for her baby .",11
97,"In that moment, Ryan said he felt God speak to him: ""You will do it — because you can."" He took out a picture of his wife and their four kids. Then, he went home to tell his wife Rebecca. In an instant, she agreed to adopt. The Holets named their new daughter Hope.","in that moment, ryan said he felt god speak to him: ""you will do it — becaamericane you can."" he took out a picture of his wife and their four kids. then, he went home to tell his wife rebecca. in an instant, she agreed to adopt. the holets named their new daughter hope.",Positive,"in that moment , ryan say he felt god speak to him : `` you will do it — because you can . '' he take out a picture of his wife and their four kid . then , he go home to tell his wife rebecca . in an instant , she agree to adopt . the holets name their new daughter hope .",6
98,"Ryan and Rebecca: You embody the goodness of our nation. Thank you, and congratulations.","ryan and rebecca: you embody the goodness of our nation. thank you, and congratulations.",Positive,"ryan and rebecca : you embody the goodness of our nation . thank you , and congratulation .",5
99,"As we rebuild America's strength and confidence at home, we are also restoring our strength and standing abroad.","as we rebuild america's strength and confidence at home, we are also restoring our strength and standing abroad.",Positive,"a we rebuild america 's strength and confidence at home , we be also restore our strength and stand abroad .",15
100,"Around the world, we face rogue regimes, terrorist groups, and rivals like China and Russia that challenge our interests, our economy, and our values. In confronting these dangers, we know that weakness is the surest path to conflict, and unmatched power is the surest means of our defense.","around the world, we face rogue regimes, terrorist groups, and rivals like china and ramericansia that challenge our interests, our economy, and our values. in confronting these dangers, we know that weakness is the surest path to conflict, and unmatched power is the surest means of our defense.",Negative,"around the world , we face rogue regime , terrorist group , and rival like china and russia that challenge our interest , our economy , and our value . in confront these danger , we know that weakness be the sure path to conflict , and unmatched power be the sure mean of our defense .",4
101,"For this reason, I am asking the Congress to end the dangerous defense sequester and fully fund our great military.","for this reason, i am asking the congress to end the dangeroamerican defense sequester and fully fund our great military.",Positive,"for this reason , i be ask the congress to end the dangerous defense sequester and fully fund our great military .",0
102,"As part of our defense, we must modernize and rebuild our nuclear arsenal, hopefully never having to use it, but making it so strong and powerful that it will deter any acts of aggression. Perhaps someday in the future there will be a magical moment when the countries of the world will get together to eliminate their nuclear weapons. Unfortunately, we are not there yet.","as part of our defense, we mamericant modernize and rebuild our nuclear arsenal, hopefully never having to americane it, but making it so strong and powerful that it will deter any acts of aggression. perhaps someday in the future there will be a magical moment when the countries of the world will get together to eliminate their nuclear weapons. unfortunately, we are not there yet.",Positive,"a part of our defense , we must modernize and rebuild our nuclear arsenal , hopefully never have to use it , but make it so strong and powerful that it will deter any act of aggression . perhaps someday in the future there will be a magical moment when the country of the world will get together to eliminate their nuclear weapon . unfortunately , we be not there yet .",0
103,"Last year, I also pledged that we would work with our allies to extinguish ISIS from the face of the Earth. One year later, I am proud to report that the coalition to defeat ISIS has liberated almost 100 percent of the territory once held by these killers in Iraq and Syria. But there is much more work to be done. We will continue our fight until ISIS is defeated.","last year, i also pledged that we would work with our allies to extinguish isis from the face of the earth. one year later, i am proud to report that the coalition to defeat isis has liberated almost 100 percent of the territory once held by these killers in iraq and syria. but there is much more work to be done. we will continue our fight until isis is defeated.",Negative,"last year , i also pledge that we would work with our ally to extinguish isi from the face of the earth . one year later , i be proud to report that the coalition to defeat isi have liberate almost 100 percent of the territory once hold by these killer in iraq and syria . but there be much more work to be do . we will continue our fight until isi be defeat .",3
104,"Army Staff Sgt. Justin Peck is here tonight. Near Raqqa last November, Justin and his comrade, Chief Petty Officer Kenton Stacy, were on a mission to clear buildings that ISIS had rigged with explosives so that civilians could return to the city.","army staff sgt. jamericantin peck is here tonight. near raqqa last november, jamericantin and his comrade, chief petty officer kenton stacy, were on a mission to clear buildings that isis had rigged with explosives so that civilians could return to the city.",Neutral,"army staff sgt . justin peck be here tonight . near raqqa last november , justin and his comrade , chief petty officer kenton stacy , be on a mission to clear building that isi have rig with explosive so that civilian could return to the city .",11
105,"Clearing the second floor of a vital hospital, Kenton Stacy was severely wounded by an explosion. Immediately, Justin bounded into the booby-trapped building and found Kenton in bad shape. He applied pressure to the wound and inserted a tube to reopen an airway. He then performed CPR for 20 straight minutes during the ground transport and maintained artificial respiration through 2 hours of emergency surgery.","clearing the second floor of a vital hospital, kenton stacy was severely wounded by an explosion. immediately, jamericantin bounded into the booby-trapped building and found kenton in bad shape. he applied pressure to the wound and inserted a tube to reopen an airway. he then performed cpr for 20 straight minutes during the ground transport and maintained artificial respiration through 2 hours of emergency surgery.",Negative,"clear the second floor of a vital hospital , kenton stacy be severely wound by an explosion . immediately , justin bound into the booby-trapped building and find kenton in bad shape . he apply pressure to the wound and insert a tube to reopen an airway . he then perform cpr for 20 straight minute during the ground transport and maintain artificial respiration through 2 hour of emergency surgery .",9
106,"Kenton Stacy would have died if not for Justin's selfless love for a fellow warrior. Tonight, Kenton is recovering in Texas. Raqqa is liberated. And Justin is wearing his new Bronze Star, with a ""V"" for ""Valor."" Staff Sgt. Peck: All of America salutes you.","kenton stacy would have died if not for jamericantin's selfless love for a fellow warrior. tonight, kenton is recovering in texas. raqqa is liberated. and jamericantin is wearing his new bronze star, with a ""v"" for ""valor."" staff sgt. peck: all of america salutes you.",Neutral,"kenton stacy would have die if not for justin 's selfless love for a fellow warrior . tonight , kenton be recover in texas . raqqa be liberate . and justin be wear his new bronze star , with a `` v '' for `` valor . '' staff sgt . peck : all of america salute you .",4
107,"Terrorists who do things like place bombs in civilian hospitals are evil. When possible, we annihilate them. When necessary, we must be able to detain and question them. But we must be clear: Terrorists are not merely criminals. They are unlawful enemy combatants. And when captured overseas, they should be treated like the terrorists they are.","terrorists who do things like place bombs in civilian hospitals are evil. when possible, we annihilate them. when necessary, we mamericant be able to detain and question them. but we mamericant be clear: terrorists are not merely criminals. they are unlawful enemy combatants. and when captured overseas, they should be treated like the terrorists they are.",Negative,"terrorist who do thing like place bomb in civilian hospital be evil . when possible , we annihilate them . when necessary , we must be able to detain and question them . but we must be clear : terrorist be not merely criminal . they be unlawful enemy combatant . and when captured overseas , they should be treat like the terrorist they be .",4
108,"In the past, we have foolishly released hundreds of dangerous terrorists, only to meet them again on the battlefield — including the ISIS leader, al-Baghdadi.","in the past, we have foolishly released hundreds of dangeroamerican terrorists, only to meet them again on the battlefield — including the isis leader, al-baghdadi.",Neutral,"in the past , we have foolishly release hundred of dangerous terrorist , only to meet them again on the battlefield — include the isi leader , al-baghdadi .",4
109,"So today, I am keeping another promise. I just signed an order directing Secretary Mattis to reexamine our military detention policy and to keep open the detention facilities at Guantánamo Bay.","so today, i am keeping another promise. i jamericant signed an order directing secretary mattis to reexamine our military detention policy and to keep open the detention facilities at guantánamo bay.",Negative,"so today , i be keep another promise . i just sign an order direct secretary mattis to reexamine our military detention policy and to keep open the detention facility at guantánamo bay .",7
110,"I am also asking the Congress to ensure that, in the fight against ISIS and al Qaeda, we continue to have all necessary power to detain terrorists — wherever we chase them down.","i am also asking the congress to ensure that, in the fight against isis and al qaeda, we continue to have all necessary power to detain terrorists — wherever we chase them down.",Negative,"i be also ask the congress to ensure that , in the fight against isi and al qaeda , we continue to have all necessary power to detain terrorist — wherever we chase them down .",0
111,"Our warriors in Afghanistan also have new rules of engagement. Along with their heroic Afghan partners, our military is no longer undermined by artificial timelines, and we no longer tell our enemies our plans.","our warriors in afghanistan also have new rules of engagement. along with their heroic afghan partners, our military is no longer undermined by artificial timelines, and we no longer tell our enemies our plans.",Negative,"our warrior in afghanistan also have new rule of engagement . along with their heroic afghan partner , our military be no longer undermine by artificial timeline , and we no longer tell our enemy our plan .",4
112,"Last month, I also took an action endorsed unanimously by the Senate just months before: I recognized Jerusalem as the capital of Israel.","last month, i also took an action endorsed unanimoamericanly by the senate jamericant months before: i recognized jeramericanalem as the capital of israel.",Positive,"last month , i also take an action endorse unanimously by the senate just month before : i recognize jerusalem a the capital of israel .",10
113,"Shortly afterwards, dozens of countries voted in the United Nations General Assembly against America's sovereign right to make this recognition. American taxpayers generously send those same countries billions of dollars in aid every year.","shortly afterwards, dozens of countries voted in the united nations general assembly against america's sovereign right to make this recognition. american taxpayers generoamericanly send those same countries billions of dollars in aid every year.",Positive,"shortly afterwards , dozen of country vote in the united nation general assembly against america 's sovereign right to make this recognition . american taxpayer generously send those same country billion of dollar in aid every year .",5
114,"That is why, tonight, I am asking the Congress to pass legislation to help ensure American foreign-assistance dollars always serve American interests, and only go to America's friends.","that is why, tonight, i am asking the congress to pass legislation to help ensure american foreign-assistance dollars always serve american interests, and only go to america's friends.",Positive,"that be why , tonight , i be ask the congress to pass legislation to help ensure american foreign-assistance dollar always serve american interest , and only go to america 's friend .",0
115,"As we strengthen friendships around the world, we are also restoring clarity about our adversaries.","as we strengthen friendships around the world, we are also restoring clarity about our adversaries.",Positive,"a we strengthen friendship around the world , we be also restore clarity about our adversary .",14
116,"When the people of Iran rose up against the crimes of their corrupt dictatorship, I did not stay silent. America stands with the people of Iran in their courageous struggle for freedom.","when the people of iran rose up against the crimes of their corrupt dictatorship, i did not stay silent. america stands with the people of iran in their courageoamerican struggle for freedom.",Neutral,"when the people of iran rise up against the crime of their corrupt dictatorship , i do not stay silent . america stand with the people of iran in their courageous struggle for freedom .",15
117,I am asking the Congress to address the fundamental flaws in the terrible Iran nuclear deal.,i am asking the congress to address the fundamental flaws in the terrible iran nuclear deal.,Negative,i be ask the congress to address the fundamental flaw in the terrible iran nuclear deal .,0
118,My Administration has also imposed tough sanctions on the communist and socialist dictatorships in Cuba and Venezuela.,my administration has also imposed tough sanctions on the communist and socialist dictatorships in cuba and venezuela.,Negative,my administration have also impose tough sanction on the communist and socialist dictatorship in cuba and venezuela .,3
119,But no regime has oppressed its own citizens more totally or brutally than the cruel dictatorship in North Korea.,but no regime has oppressed its own citizens more totally or brutally than the cruel dictatorship in north korea.,Negative,but no regime have oppress it own citizen more totally or brutally than the cruel dictatorship in north korea .,1
120,North Korea's reckless pursuit of nuclear missiles could very soon threaten our homeland.,north korea's reckless pursuit of nuclear missiles could very soon threaten our homeland.,Negative,north korea 's reckless pursuit of nuclear missile could very soon threaten our homeland .,1
121,We are waging a campaign of maximum pressure to prevent that from happening.,we are waging a campaign of maximum pressure to prevent that from happening.,Negative,we be wag a campaign of maximum pressure to prevent that from happen .,14
122,Past experience has taught us that complacency and concessions only invite aggression and provocation. I will not repeat the mistakes of past administrations that got us into this dangerous position.,past experience has taught american that complacency and concessions only invite aggression and provocation. i will not repeat the mistakes of past administrations that got american into this dangeroamerican position.,Negative,past experience have teach u that complacency and concession only invite aggression and provocation . i will not repeat the mistake of past administration that get u into this dangerous position .,10
123,We need only look at the depraved character of the North Korean regime to understand the nature of the nuclear threat it could pose to America and our allies.,we need only look at the depraved character of the north korean regime to understand the nature of the nuclear threat it could pose to america and our allies.,Negative,we need only look at the depraved character of the north korean regime to understand the nature of the nuclear threat it could pose to america and our ally .,0
124,"Otto Warmbier was a hardworking student at the University of Virginia. On his way to study abroad in Asia, Otto joined a tour to North Korea. At its conclusion, this wonderful young man was arrested and charged with crimes against the state. After a shameful trial, the dictatorship sentenced Otto to 15 years of hard labor, before returning him to America last June — horribly injured and on the verge of death. He passed away just days after his return.","otto warmbier was a hardworking student at the university of virginia. on his way to study abroad in asia, otto joined a tour to north korea. at its conclamericanion, this wonderful young man was arrested and charged with crimes against the state. after a shameful trial, the dictatorship sentenced otto to 15 year of hard labor, before returning him to america last june — horribly injured and on the verge of death. he passed away jamericant days after his return.",Negative,"otto warmbier be a hardworking student at the university of virginia . on his way to study abroad in asia , otto join a tour to north korea . at it conclusion , this wonderful young man be arrest and charge with crime against the state . after a shameful trial , the dictatorship sentence otto to 15 year of hard labor , before return him to america last june — horribly injure and on the verge of death . he pass away just day after his return .",1
125,"Otto's Parents, Fred and Cindy Warmbier, are with us tonight — along with Otto's brother and sister, Austin and Greta. You are powerful witnesses to a menace that threatens our world, and your strength inspires us all. Tonight, we pledge to honor Otto's memory with American resolve.","otto's parents, fred and cindy warmbier, are with american tonight — along with otto's brother and sister, aamericantin and greta. you are powerful witnesses to a menace that threatens our world, and your strength inspires american all. tonight, we pledge to honor otto's memory with american resolve.",Positive,"otto 's parent , fred and cindy warmbier , be with u tonight — along with otto 's brother and sister , austin and greta . you be powerful witness to a menace that threaten our world , and your strength inspire u all . tonight , we pledge to honor otto 's memory with american resolve .",14
126,"Finally, we are joined by one more witness to the ominous nature of this regime. His name is Mr. Ji Seong-ho.","finally, we are joined by one more witness to the ominoamerican nature of this regime. his name is mr. ji seong-ho.",Neutral,"finally , we be join by one more witness to the ominous nature of this regime . his name be mr. ji seong-ho .",8
127,"In 1996, Seong-ho was a starving boy in North Korea. One day, he tried to steal coal from a railroad car to barter for a few scraps of food. In the process, he passed out on the train tracks, exhausted from hunger. He woke up as a train ran over his limbs. He then endured multiple amputations without anything to dull the pain. His brother and sister gave what little food they had to help him recover and ate dirt themselves — permanently stunting their own growth. Later, he was tortured by North Korean authorities after returning from a brief visit to China. His tormentors wanted to know if he had met any Christians. He had — and he resolved to be free.","in 1996, seong-ho was a starving boy in north korea. one day, he tried to steal coal from a railroad car to barter for a few scraps of food. in the process, he passed out on the train tracks, exhaamericanted from hunger. he woke up as a train ran over his limbs. he then endured multiple amputations without anything to dull the pain. his brother and sister gave what little food they had to help him recover and ate dirt themselves — permanently stunting their own growth. later, he was tortured by north korean authorities after returning from a brief visit to china. his tormentors wanted to know if he had met any christians. he had — and he resolved to be free.",Negative,"in 1996 , seong-ho be a starving boy in north korea . one day , he try to steal coal from a railroad car to barter for a few scrap of food . in the process , he pass out on the train track , exhaust from hunger . he wake up a a train ran over his limb . he then endure multiple amputation without anything to dull the pain . his brother and sister give what little food they have to help him recover and eat dirt themselves — permanently stunt their own growth . later , he be torture by north korean authority after return from a brief visit to china . his tormentor want to know if he have meet any christian . he have — and he resolve to be free .",1
128,"Seong-ho traveled thousands of miles on crutches across China and Southeast Asia to freedom. Most of his family followed. His father was caught trying to escape, and was tortured to death.","seong-ho traveled thoamericanands of miles on crutches across china and southeast asia to freedom. most of his family followed. his father was caught trying to escape, and was tortured to death.",Negative,"seong-ho travel thousand of mile on crutch across china and southeast asia to freedom . most of his family follow . his father be catch try to escape , and be torture to death .",8
129,"Today he lives in Seoul, where he rescues other defectors, and broadcasts into North Korea what the regime fears the most — the truth.","today he lives in seoul, where he rescues other defectors, and broadcasts into north korea what the regime fears the most — the truth.",Positive,"today he live in seoul , where he rescue other defector , and broadcast into north korea what the regime fear the most — the truth .",1
130,"Today he has a new leg, but Seong-ho, I understand you still keep those crutches as a reminder of how far you have come. Your great sacrifice is an inspiration to us all.","today he has a new leg, but seong-ho, i understand you still keep those crutches as a reminder of how far you have come. your great sacrifice is an inspiration to american all.",Positive,"today he have a new leg , but seong-ho , i understand you still keep those crutch a a reminder of how far you have come . your great sacrifice be an inspiration to u all .",8
131,Seong-ho's story is a testament to the yearning of every human soul to live in freedom.,seong-ho's story is a testament to the yearning of every human soul to live in freedom.,Positive,seong-ho 's story be a testament to the yearning of every human soul to live in freedom .,8
132,"It was that same yearning for freedom that nearly 250 years ago gave birth to a special place called America. It was a small cluster of colonies caught between a great ocean and a vast wilderness. But it was home to an incredible people with a revolutionary idea: that they could rule themselves. That they could chart their own destiny. And that, together, they could light up the world.","it was that same yearning for freedom that nearly 250 year ago gave birth to a special place called america. it was a small clamericanter of colonies caught between a great ocean and a vast wilderness. but it was home to an incredible people with a revolutionary idea: that they could rule themselves. that they could chart their own destiny. and that, together, they could light up the world.",Positive,"it be that same yearning for freedom that nearly 250 year ago give birth to a special place call america . it be a small cluster of colony catch between a great ocean and a vast wilderness . but it be home to an incredible people with a revolutionary idea : that they could rule themselves . that they could chart their own destiny . and that , together , they could light up the world .",11
133,"That is what our country has always been about. That is what Americans have always stood for, always strived for, and always done.","that is what our country has always been about. that is what american have always stood for, always strived for, and always done.",Neutral,"that be what our country have always be about . that be what american have always stand for , always strive for , and always do .",3
134,Atop the dome of this Capitol stands the Statue of Freedom. She stands tall and dignified among the monuments to our ancestors who fought and lived and died to protect her.,atop the dome of this capitol stands the statue of freedom. she stands tall and dignified among the monuments to our ancestors who fought and lived and died to protect her.,Neutral,atop the dome of this capitol stand the statue of freedom . she stand tall and dignify among the monument to our ancestor who fight and live and die to protect her .,15
135,Monuments to Washington and Jefferson — to Lincoln and King.,monuments to washington and jefferson — to lincoln and king.,Neutral,monument to washington and jefferson — to lincoln and king .,14
